value,params_backbone,params_batch_size,params_center_crop_key,params_coreset_sampling_ratio,params_image_size_key,params_layers_key,params_max_patches_per_image,params_num_neighbors,params_pre_trained,params_reduction,params_soft_corruption_level,params_soft_review_budget,params_soft_train_fraction
0.0992063492063492,resnet18,16,none,0.049,320,l2_l3,1024,25,True,max,none,0.235,0.44
0.15454545454545454,resnet18,16,none,0.011,320,l1_l2_l3,128,1,False,mean,none,0.415,0.41
0.13,resnet18,8,none,0.093,224,l2,256,23,True,mean,mild,0.115,0.68
0.058823529411764705,resnet34,8,0.875,0.067,256,l2,128,12,True,max,mild,0.085,0.56
0.0,resnet50,16,none,0.007,224,l1_l2_l3,256,17,False,max,none,0.005,0.61
0.05660377358490566,resnet18,16,none,0.063,256,l3,512,13,False,mean,none,0.265,0.81
0.2689075630252101,resnet34,8,none,0.067,256,l3,1024,16,True,mean,strong,0.065,0.69
0.33698030634573306,resnet50,16,0.875,0.059,256,l2_l3,1024,12,True,max,strong,0.18,0.9
0.43111831442463533,resnet34,8,0.875,0.059,256,l2_l3,512,24,True,max,strong,0.365,0.55
0.08786610878661087,resnet34,8,0.875,0.057,256,l3,512,10,False,mean,strong,0.205,0.47
0.37333333333333335,resnet50,8,0.875,0.043,256,l2_l3,512,10,True,max,strong,0.345,0.97
0.293015332197615,resnet34,8,0.875,0.047,320,l3,512,11,False,max,strong,0.33,0.46
0.1975806451612903,resnet50,16,0.875,0.045,224,l2_l3,512,29,True,mean,strong,0.225,0.27
0.01791044776119403,resnet34,8,0.875,0.047,256,l3,512,15,False,max,strong,0.04,0.36
0.32018561484918795,resnet50,16,0.875,0.035,224,l2_l3,1024,8,True,mean,strong,0.15,0.54
0.1411764705882353,resnet34,8,0.875,0.059,320,l3,256,25,False,max,strong,0.34,0.97
0.19138755980861244,resnet50,16,0.875,0.031,256,l2_l3,512,14,True,mean,strong,0.135,0.37
0.5171102661596958,resnet34,8,0.875,0.075,224,l3,512,20,True,max,mild,0.26,0.49
0.47345132743362833,resnet34,8,0.875,0.073,224,l3,512,20,True,max,mild,0.175,0.5
0.4765957446808511,resnet34,8,0.875,0.077,224,l3,512,20,True,max,mild,0.195,0.48
0.5383502170767004,resnet34,8,0.875,0.051,224,l3,512,23,True,max,mild,0.45,0.39
0.5383502170767004,resnet34,8,0.875,0.051,224,l3,512,24,True,max,mild,0.45,0.39
0.4164859002169197,resnet34,8,0.875,0.051,224,l3,512,24,True,max,mild,0.185,0.38
0.18604651162790697,resnet34,8,0.875,0.051,320,l3,512,23,True,max,mild,0.1,0.33
0.6859623733719248,resnet34,16,0.875,0.057,224,l3,1024,25,True,max,strong,0.45,0.74
0.76410998552822,resnet34,16,0.875,0.057,224,l3,1024,7,True,max,strong,0.45,0.77
0.7798561151079136,resnet34,16,0.875,0.057,256,l3,1024,7,True,max,strong,0.455,0.75
0.7798561151079136,resnet34,16,0.875,0.061,256,l3,1024,7,True,max,strong,0.455,0.74
0.8140243902439024,resnet34,16,0.875,0.057,256,l3,1024,7,True,max,strong,0.41,0.75
0.7856115107913669,resnet34,16,0.875,0.057,256,l3,1024,7,True,max,strong,0.455,0.75
0.762589928057554,resnet34,16,0.875,0.057,256,l3,1024,7,True,max,strong,0.455,0.75
0.7597122302158273,resnet34,16,0.875,0.057,256,l3,1024,7,True,max,strong,0.455,0.75
0.7798561151079136,resnet34,16,0.875,0.061,256,l3,1024,7,True,max,strong,0.455,0.75
0.7827338129496403,resnet34,16,0.875,0.061,256,l3,1024,7,True,max,strong,0.455,0.75
0.7827338129496403,resnet34,16,0.875,0.061,256,l3,1024,7,True,max,strong,0.455,0.75
0.774390243902439,resnet34,16,0.875,0.061,256,l3,1024,7,True,max,strong,0.41,0.77
0.7827338129496403,resnet34,16,0.875,0.061,256,l3,1024,7,True,max,strong,0.455,0.77
0.762589928057554,resnet34,16,0.875,0.061,256,l3,1024,7,True,max,strong,0.455,0.76
0.7798561151079136,resnet34,16,0.875,0.061,256,l3,1024,7,True,max,strong,0.455,0.76
